mfp,0.02,0.02,0.03,0.04,0.05,0.06,0.08,0.10,0.15,0.20,0.30,0.40,0.50,0.60,0.80,1.00,1.50,2.00,3.00,4.00,5.00,6.00,8.00,10.00,15.00
35.0,1.01E+00,1.03E+00,1.09E+00,1.20E+00,1.38E+00,1.64E+00,2.51E+00,4.08E+00,1.19E+01,3.16E+01,8.11E+01,1.27E+02,1.41E+02,1.38E+02,1.15E+02,9.21E+01,6.10E+01,4.91E+01,3.79E+01,3.39E+01,3.27E+01,3.31E+01,3.72E+01,4.56E+01,9.88E+01
40.0,1.01E+00,1.03E+00,1.09E+00,1.21E+00,1.39E+00,1.66E+00,2.59E+00,4.30E+00,1.31E+01,3.64E+01,9.85E+01,1.59E+02,1.77E+02,1.73E+02,1.42E+02,1.12E+02,7.26E+01,5.80E+01,4.46E+01,4.01E+01,3.92E+01,4.04E+01,4.72E+01,6.10E+01,1.54E+02
45.0,1.01E+00,1.03E+00,1.09E+00,1.21E+00,1.40E+00,1.69E+00,2.66E+00,4.50E+00,1.42E+01,4.13E+01,1.17E+02,1.94E+02,2.17E+02,2.11E+02,1.71E+02,1.33E+02,8.46E+01,6.72E+01,5.15E+01,4.66E+01,4.61E+01,4.82E+01,5.88E+01,8.01E+01,2.36E+02
50.0,1.02E+00,1.03E+00,1.10E+00,1.22E+00,1.41E+00,1.71E+00,2.73E+00,4.69E+00,1.54E+01,4.63E+01,1.37E+02,2.32E+02,2.61E+02,2.52E+02,2.02E+02,1.55E+02,9.70E+01,7.66E+01,5.85E+01,5.33E+01,5.33E+01,5.66E+01,7.19E+01,1.03E+02,3.56E+02
55.0,1.02E+00,1.03E+00,1.10E+00,1.22E+00,1.43E+00,1.73E+00,2.80E+00,4.87E+00,1.65E+01,5.14E+01,1.57E+02,2.73E+02,3.08E+02,2.96E+02,2.35E+02,1.78E+02,1.10E+02,8.63E+01,6.57E+01,6.03E+01,6.09E+01,6.57E+01,8.68E+01,1.31E+02,5.31E+02
60.0,1.02E+00,1.03E+00,1.10E+00,1.23E+00,1.44E+00,1.75E+00,2.87E+00,5.05E+00,1.76E+01,5.66E+01,1.79E+02,3.17E+02,3.58E+02,3.43E+02,2.69E+02,2.02E+02,1.23E+02,9.63E+01,7.31E+01,6.74E+01,6.89E+01,7.53E+01,1.03E+02,1.65E+02,7.84E+02
65.0,1.02E+00,1.03E+00,1.10E+00,1.23E+00,1.45E+00,1.77E+00,2.93E+00,5.22E+00,1.87E+01,6.18E+01,2.02E+02,3.64E+02,4.12E+02,3.94E+02,3.06E+02,2.27E+02,1.36E+02,1.06E+02,8.06E+01,7.47E+01,7.71E+01,8.54E+01,1.22E+02,2.05E+02,1.15E+03
70.0,1.02E+00,1.03E+00,1.11E+00,1.24E+00,1.46E+00,1.79E+00,2.99E+00,5.39E+00,1.98E+01,6.72E+01,2.25E+02,4.14E+02,4.69E+02,4.47E+02,3.44E+02,2.54E+02,1.50E+02,1.17E+02,8.82E+01,8.23E+01,8.57E+01,9.62E+01,1.43E+02,2.52E+02,1.66E+03
75.0,1.02E+00,1.04E+00,1.11E+00,1.24E+00,1.47E+00,1.81E+00,3.05E+00,5.56E+00,2.09E+01,7.26E+01,2.50E+02,4.66E+02,5.30E+02,5.03E+02,3.84E+02,2.81E+02,1.64E+02,1.27E+02,9.60E+01,9.00E+01,9.45E+01,1.07E+02,1.65E+02,3.07E+02,2.38E+03
80.0,1.02E+00,1.04E+00,1.11E+00,1.25E+00,1.48E+00,1.83E+00,3.11E+00,5.73E+00,2.20E+01,7.81E+01,2.76E+02,5.22E+02,5.94E+02,5.62E+02,4.25E+02,3.08E+02,1.79E+02,1.38E+02,1.04E+02,9.78E+01,1.04E+02,1.19E+02,1.90E+02,3.72E+02,3.40E+03
85.0,1.02E+00,1.04E+00,1.11E+00,1.25E+00,1.48E+00,1.85E+00,3.17E+00,5.89E+00,2.31E+01,8.37E+01,3.02E+02,5.80E+02,6.61E+02,6.24E+02,4.69E+02,3.37E+02,1.93E+02,1.49E+02,1.12E+02,1.06E+02,1.13E+02,1.32E+02,2.17E+02,4.47E+02,4.82E+03
90.0,1.02E+00,1.04E+00,1.11E+00,1.25E+00,1.49E+00,1.86E+00,3.23E+00,6.06E+00,2.42E+01,8.94E+01,3.30E+02,6.42E+02,7.32E+02,6.89E+02,5.13E+02,3.66E+02,2.08E+02,1.60E+02,1.20E+02,1.14E+02,1.23E+02,1.45E+02,2.47E+02,5.33E+02,6.79E+03
95.0,1.02E+00,1.04E+00,1.11E+00,1.26E+00,1.50E+00,1.88E+00,3.28E+00,6.22E+00,2.53E+01,9.53E+01,3.58E+02,7.06E+02,8.06E+02,7.57E+02,5.59E+02,3.97E+02,2.23E+02,1.72E+02,1.29E+02,1.22E+02,1.33E+02,1.58E+02,2.79E+02,6.33E+02,9.51E+03
100.0,1.02E+00,1.04E+00,1.11E+00,1.26E+00,1.51E+00,1.90E+00,3.34E+00,6.39E+00,2.65E+01,1.01E+02,3.88E+02,7.73E+02,8.83E+02,8.27E+02,6.07E+02,4.28E+02,2.39E+02,1.83E+02,1.37E+02,1.31E+02,1.43E+02,1.72E+02,3.13E+02,7.46E+02,1.33E+04
